TimeOccur,GeoX,GeoY,Type
10/17/2022 08:45:59,2460620.5,955330.56,Burglary
10/17/2022 08:00:00,2457001.25,937048.88,Burglary
10/17/2022 06:47:59,2469116,947062.13,Assault Offenses
10/17/2022 05:42:00,2435726,950420.13,Larceny
10/17/2022 04:25:00,2434646.5,938509.31,Vandalism
10/17/2022 02:00:00,2468825.75,948782.12,Assault Offenses
10/17/2022 01:00:00,2461883.75,940691.37,Larceny
10/17/2022 00:41:59,2453228,945400.56,Drugs-Narcotics
10/17/2022 00:00:00,2463795.75,952980.68,Assault Offenses
10/17/2022 00:00:00,2448420.25,953793.25,Larceny
10/17/2022 00:00:00,2448420.25,953793.25,Fraud Offenses
10/16/2022 23:37:59,2464779.5,961116.56,Assault Offenses
10/16/2022 23:00:00,2442905.5,953710.06,Vandalism
10/16/2022 22:00:00,2456241.75,961850.75,Larceny
10/16/2022 21:00:00,2456110,955267.94,Vandalism
10/16/2022 21:00:00,2456110,955267.94,Larceny
10/16/2022 21:00:00,2456109.5,943988.25,Larceny
10/16/2022 19:00:00,2435860.5,955398,Vandalism
10/16/2022 16:40:00,2436748.75,951514.75,Larceny
10/16/2022 16:23:37,2464205.75,952905,Robbery
10/16/2022 16:11:59,2446422.75,933904.94,Assault Offenses
10/16/2022 16:01:59,2449068.5,934772.31,Assault Offenses
10/16/2022 15:00:00,2466968.25,953330.81,Rape
10/16/2022 14:15:00,2447993.75,953337.31,Larceny
10/16/2022 13:15:59,2452871.75,928741.31,Larceny
10/16/2022 04:27:00,2466934.5,960602.75,Assault Offenses
10/16/2022 01:32:59,2468350,949361.5,Larceny
10/16/2022 00:25:59,2448420.25,953793.25,Assault Offenses
10/16/2022 00:25:59,2448420.25,953793.25,Vandalism
10/16/2022 00:00:00,2463401.5,958982.44,Larceny
10/16/2022 00:00:00,2458948.5,960747.5,Larceny
10/16/2022 00:00:00,2457834.25,956104.93,Larceny
10/16/2022 00:00:00,2444978.75,952497.5,Fraud Offenses
10/15/2022 21:37:59,2466004.25,958488.5,Vandalism
10/15/2022 17:29:00,2461934.25,949975,Assault Offenses
10/15/2022 16:21:00,2460312,958258.38,Drugs-Narcotics
10/15/2022 15:00:59,2437340.5,953235.56,Larceny
10/15/2022 15:00:00,2464431.25,944252.31,Larceny
10/15/2022 14:07:00,2466408.5,952782,Homicide
10/15/2022 14:07:00,2466408.5,952782,Vandalism
10/15/2022 01:09:59,2464390.25,948881.94,Assault Offenses
10/15/2022 00:36:59,2462466.5,961184.63,Assault Offenses
10/15/2022 00:00:00,2452776.75,945508.93,Fraud Offenses
10/14/2022 23:25:59,2460091.25,957755.63,Assault Offenses
10/14/2022 20:00:05,2457645.5,953607.81,Larceny
10/14/2022 18:14:59,2467671,959126,Assault Offenses
10/14/2022 16:55:00,2443557.25,952472.19,Drugs-Narcotics
10/14/2022 16:55:00,2443557.25,952472.19,Weapon Law Violations
10/14/2022 15:38:59,2465935.75,959711.69,Assault Offenses
10/14/2022 15:30:59,2452871.75,928741.31,Larceny
10/14/2022 15:30:59,2462399,944843.06,Burglary
10/14/2022 14:48:00,2455683.5,943987.25,Assault Offenses
10/14/2022 14:20:00,2460224.25,962634.06,Theft of Motor Vehicles
10/14/2022 13:07:59,2452174,932682.56,Larceny
10/14/2022 12:00:59,2448574.5,946912.56,Fraud Offenses
10/14/2022 12:00:00,2460380.25,953897.25,Burglary
10/14/2022 04:05:59,2463918,946220.69,Vandalism
10/14/2022 04:05:59,2463918,946220.69,Assault Offenses
10/14/2022 02:13:59,2449903.5,952552.31,Larceny
10/14/2022 00:44:59,2451192.5,936436,Vandalism
10/14/2022 00:44:59,2451192.5,936436,Drugs-Narcotics
10/14/2022 00:00:00,2467091,944354.25,Vandalism
10/13/2022 23:00:00,2451219.75,946977.31,Theft of Motor Vehicles
10/13/2022 17:45:00,2453125.5,952416.69,Fraud Offenses
10/13/2022 17:45:00,2453125.5,952416.69,Larceny
10/13/2022 13:30:00,2464189.75,951643.68,Assault Offenses
10/13/2022 12:00:00,2469320.25,946668.68,Burglary
10/13/2022 11:45:00,2462428.25,956794.94,Assault Offenses
10/13/2022 10:00:00,2464513.25,950026.43,Assault Offenses
10/13/2022 09:40:00,2460567.75,963667.62,Assault Offenses
10/13/2022 08:20:59,2458674,962466.25,Assault Offenses
10/13/2022 08:00:00,2451219.75,946977.31,Larceny
10/13/2022 07:00:00,2453964.75,946942.44,Burglary
10/12/2022 21:00:00,2444978.75,952497.5,Assault Offenses
10/12/2022 18:00:00,2462680,945934.44,Larceny
10/12/2022 17:50:59,2448420.25,953793.25,Larceny
10/12/2022 17:00:00,2467149.5,961443,Larceny
10/12/2022 13:41:59,2466881.75,956602.13,Robbery
10/12/2022 13:38:00,2447299.5,936859.31,Larceny
10/12/2022 13:30:00,2451655,942151.44,Rape
10/12/2022 13:30:00,2451655,942151.43,Assault Offenses
10/12/2022 12:25:00,2452902.75,943977.94,Assault Offenses
10/12/2022 10:00:00,2466941.5,952120.44,Larceny
10/12/2022 07:36:59,2468494.25,958466.63,Fraud Offenses
10/12/2022 07:36:59,2468494.25,958466.63,Larceny
10/12/2022 07:36:59,2468494.25,958466.63,Stolen Property Offenses
10/12/2022 01:45:59,2457927.75,963409.31,Assault Offenses
10/11/2022 22:00:00,2467166,960296.62,Fraud Offenses
10/11/2022 21:00:00,2466966.75,960027.63,Assault Offenses
10/11/2022 21:00:00,2464033.5,957523,Burglary
10/11/2022 20:02:59,2445252,952527.25,Larceny
10/11/2022 19:00:00,2461784.75,943973.68,Larceny
10/11/2022 18:00:05,2465971.75,956623.38,Assault Offenses
10/11/2022 17:35:59,2460191,955768.81,Fraud Offenses
10/11/2022 17:30:00,2450183.25,950499.13,Larceny
10/11/2022 17:20:00,2455720.75,948362.63,Vandalism
10/11/2022 15:41:00,2452459.75,963839.75,Extortion-Blackmail
10/11/2022 14:05:59,2445313.25,936589.38,Assault Offenses
10/11/2022 14:05:59,2445313.25,936589.38,Vandalism
10/11/2022 11:45:00,2453744.25,959474.93,Burglary
10/11/2022 11:04:59,2460002,958925.5,Assault Offenses
10/11/2022 10:55:59,2461641.25,940946.81,Larceny
10/11/2022 10:52:59,2439631.25,951597.25,Vandalism
10/11/2022 06:00:00,2459096.5,956663.69,Larceny
10/11/2022 03:00:00,2461733.25,958288.25,Vandalism
10/11/2022 03:00:00,2461733.25,958288.25,Assault Offenses
10/11/2022 01:10:00,2464891,949785.81,Vandalism
10/11/2022 01:10:00,2464891,949785.81,Assault Offenses
10/10/2022 23:05:59,2464964,948457.88,Assault Offenses
10/10/2022 23:05:59,2464964,948457.88,Vandalism
10/10/2022 22:40:00,2468494.25,958466.62,Assault Offenses
10/10/2022 22:22:59,2467034,958679.69,Drugs-Narcotics
10/10/2022 19:16:59,2459321.5,955269.25,Vandalism
10/10/2022 18:30:59,2455782,948383.06,Burglary
10/10/2022 17:06:00,2455357.25,948776.25,Counterfeiting-Forgery
