TimeOccur,GeoX,GeoY,Type
06/08/2022 11:35:59,244525200,95252725,THEFT BY TAKING
06/08/2022 08:00:00,246717650,96287175,BURGLARY
06/07/2022 17:45:59,246797300,96098218,THEFT OF MOTOR
06/07/2022 17:40:59,245855350,96100019,BURGLARY
06/07/2022 17:32:00,245776675,96191413,ASSAULT OR BATT
06/07/2022 13:30:00,245664350,95861575,THEFT OF MOTOR
06/07/2022 09:00:00,245997275,95141819,BURGLARY
06/07/2022 08:23:59,242767300,95109781,THEFT BY TAKING
06/07/2022 08:23:32,246395550,95264762,THEFT OF MOTOR
06/07/2022 07:45:00,244039850,95014481,BURGLARY
06/07/2022 06:00:00,246234475,95765938,BURGLARY
06/06/2022 22:01:59,246594400,96087625,ASSAULT OR BATT
06/06/2022 14:30:00,246349475,94385525,THEFT BY TAKING
06/06/2022 00:30:06,245786050,94283968,THEFT OF MOTOR
06/05/2022 17:00:00,246703400,95753693,THEFT BY TAKING
06/05/2022 16:07:59,244318600,92864581,ASSAULT OR BATT
06/05/2022 02:15:00,245663000,95314369,ASSAULT OR BATT
06/05/2022 00:00:00,246411700,95273894,THEFT OF MOTOR
06/04/2022 22:00:00,246962400,94485806,BURGLARY
06/04/2022 21:45:00,246308325,95281506,THEFT OF MOTOR
06/04/2022 20:56:59,245789825,95473706,ROBBERY
06/04/2022 20:00:00,244072300,95004956,THEFT BY TAKING
06/03/2022 22:05:59,244823250,95280181,THEFT OF GAS
06/03/2022 07:30:00,246727425,96463544,THEFT OF MOTOR
06/03/2022 06:53:59,245085225,94862094,THEFT BY TAKING
06/03/2022 04:00:00,244384250,92857100,THEFT OF MOTOR
06/03/2022 00:06:59,246102850,94146206,BURGLARY
06/03/2022 00:00:00,245847800,95261890,THEFT BY TAKING
06/02/2022 20:22:59,246548625,96451875,THEFT BY TAKING
06/02/2022 14:38:59,246656750,95154369,BURGLARY
06/02/2022 07:00:00,245310125,94901456,LARCENY-BICYCLE
06/02/2022 04:52:59,246165050,95244900,ASSAULT OR BATT
06/01/2022 23:30:59,246370825,95761700,BURGLARY
06/01/2022 19:29:59,243427950,95145075,THEFT OF MOTOR
06/01/2022 17:55:59,246165050,95244900,ASSAULT OR BATT
06/01/2022 17:50:00,244525200,95252725,THEFT OF MOTOR
06/01/2022 16:15:00,245256750,96438044,THEFT BY TAKING
06/01/2022 10:30:00,246611350,95284250,THEFT OF MOTOR
06/01/2022 08:23:59,246395550,95264763,THEFT OF MOTOR
06/01/2022 08:00:00,245394725,94579306,BURGLARY
06/01/2022 00:42:59,245712250,95260956,THEFT BY TAKING
05/31/2022 10:00:59,246586425,96242613,ROBBERY
05/30/2022 22:30:00,244323550,95421369,ASSAULT OR BATT
05/30/2022 19:00:00,246922100,95525294,BURGLARY
05/30/2022 17:09:55,244747825,95187575,ASSAULT OR BATT
05/30/2022 13:35:59,246453500,94871819,THEFT OF MOTOR
05/30/2022 12:17:59,244823250,95280181,THEFT BY TAKING
05/30/2022 12:00:59,243588975,95401906,THEFT BY TAKING
05/29/2022 23:22:59,245739475,95551963,ASSAULT OR BATT
05/29/2022 21:28:35,245059575,95036587,BURGLARY
05/29/2022 21:22:59,245072125,94900363,BURGLARY
05/29/2022 19:26:59,244497875,95249750,ASSAULT OR BATT
05/29/2022 01:30:59,246899525,95797000,THEFT BY TAKING
05/28/2022 21:52:59,246314400,95542381,ASSAULT OR BATT
05/28/2022 21:00:59,246308325,95281506,THEFT OF MOTOR
05/28/2022 17:34:59,245894850,96074750,BURGLARY
05/28/2022 15:14:59,246502450,95060650,ASSAULT OR BATT
05/28/2022 12:31:22,245080600,95255806,ASSAULT OR BATT
05/28/2022 12:30:00,246318500,96310812,ASSAULT OR BATT
05/28/2022 01:23:00,247070375,94146106,BURGLARY
05/27/2022 21:00:00,246225225,94432150,BURGLARY
05/27/2022 18:35:59,245372650,95206456,ASSAULT OR BATT
05/27/2022 03:44:00,247106450,95103793,THEFT BY TAKING
05/26/2022 17:35:59,246599175,95722244,ASSAULT OR BATT
05/26/2022 12:17:00,246767100,95912600,BURGLARY
05/26/2022 12:01:59,246151325,95611944,ASSAULT OR BATT
05/25/2022 23:55:00,245712250,95260956,THEFT OF MOTOR
05/25/2022 21:18:59,244889000,92334450,ASSAULT OR BATT
05/25/2022 20:44:59,243612350,95574988,THEFT OF MOTOR
05/25/2022 20:28:00,244842025,95379325,THEFT BY TAKING
05/25/2022 20:00:59,244630225,93535269,THEFT OF MOTOR
05/25/2022 14:41:59,245121975,94697731,THEFT BY TAKING
05/25/2022 07:15:59,246672225,94635894,BURGLARY
05/24/2022 02:30:00,245121975,94697731,THEFT OF MOTOR
05/24/2022 00:00:00,243749925,95812269,THEFT BY TAKING
05/23/2022 20:23:00,246705400,95812731,THEFT OF MOTOR
05/23/2022 17:21:59,244946850,92116694,THEFT BY TAKING
05/23/2022 08:10:59,245673750,95037063,ASSAULT OR BATT
05/23/2022 06:45:00,245894450,94457875,THEFT OF MOTOR
05/22/2022 18:08:59,246041900,95690031,BURGLARY
05/22/2022 14:00:59,246510725,96258425,THEFT BY TAKING
05/22/2022 12:45:00,244209625,92791413,THEFT BY TAKING
05/22/2022 00:39:00,243698875,93316438,ASSAULT OR BATT
05/21/2022 22:30:00,246767100,95912600,THEFT BY TAKING
05/21/2022 22:03:59,246073725,95922238,THEFT BY TAKING
05/21/2022 09:15:00,245934200,94823463,BURGLARY
05/20/2022 21:00:00,246436450,94151538,ROBBERY
05/20/2022 20:00:59,246102850,94146206,BURGLARY
05/20/2022 17:50:00,246722650,95584663,THEFT BY TAKING
05/20/2022 06:13:59,246585275,96137612,KIDNAPPING
